start_lat,start_lon,end_lat,end_lon,distance_km,direct_distance_km,hour,day_of_week,is_weekend,is_peak_hour,traffic_High,traffic_Low,traffic_Medium,weather_Clear,weather_Fog,weather_Rain,vehicle_type_Bike,vehicle_type_Bus,vehicle_type_Car,speed_kmh
24.697,67.4195,24.5436,67.7147,28.97,34.3716687679113,12,4,0,0,0,1,0,1,0,0,0,1,0,31.4981058623834
24.7596,67.0422,24.3896,67.3007,8.18,48.74407265207826,11,6,1,0,0,0,1,1,0,0,0,1,0,49.89496551938038
24.1323,67.0737,23.7858,66.97,13.45,39.94399286885389,10,1,0,0,1,0,0,1,0,0,0,1,0,34.7063899548121
24.253,67.8358,24.6431,68.0697,21.47,49.418103398674674,8,2,0,1,1,0,0,1,0,0,0,0,1,26.37588797635711
24.1442,66.7141,24.4542,66.306,15.73,53.83984405782897,17,0,0,1,1,0,0,0,1,0,1,0,0,22.592172953282994
25.4718,67.4674,25.9269,67.928,24.29,68.48841402538507,19,3,0,1,1,0,0,1,0,0,1,0,0,17.93855576531583
24.9714,67.1567,24.526,66.7831,23.76,62.258735456566896,18,0,0,1,1,0,0,1,0,0,1,0,0,19.014444474751016
24.5099,67.7709,24.824,67.315,18.03,57.810814721927784,1,3,0,0,0,0,1,0,0,1,1,0,0,31.22280566678691
24.9657,67.1738,24.967,66.8722,17.01,30.402947347414244,15,2,0,0,0,0,1,1,0,0,1,0,0,29.56569811719438
24.202,66.9361,24.603,66.5993,12.21,56.13666787280435,8,2,0,1,1,0,0,1,0,0,0,0,1,24.976212483725657
24.9318,67.3002,25.2372,67.7145,5.82,53.79606188594676,11,4,0,0,0,0,1,1,0,0,0,0,1,45.668751416082195
25.0813,67.0583,25.2607,66.7148,9.72,39.91136518606751,20,0,0,0,0,1,0,1,0,0,0,0,1,50.54185830265481
24.0778,67.0407,23.6352,66.7479,25.82,57.521447756487426,19,3,0,1,1,0,0,1,0,0,0,1,0,22.438008525381218
25.3091,66.9655,25.0749,66.7122,17.61,36.43830683981294,12,2,0,0,1,0,0,1,0,0,0,1,0,27.20293619868724
24.9672,67.8724,25.1656,67.7695,7.74,24.374371883834822,2,5,1,0,0,1,0,1,0,0,1,0,0,35.41118298378529
24.1742,66.5648,23.8548,66.9273,15.39,51.156702974399806,15,2,0,0,1,0,0,1,0,0,1,0,0,21.47356379761266
24.8391,67.0842,24.4619,67.2502,7.07,45.17335910346514,22,3,0,0,0,1,0,0,0,1,1,0,0,45.479175080837585
25.157,67.8211,25.194,67.3806,26.35,44.51907131127777,15,3,0,0,0,1,0,0,0,1,0,1,0,22.51776431886576
24.8613,67.9697,25.1393,68.0163,6.15,31.266876771389793,10,3,0,0,1,0,0,1,0,0,1,0,0,30.773073404476865
25.1112,67.3787,25.2625,66.9639,15.93,45.00148987499443,2,2,0,0,1,0,0,0,0,1,0,0,1,17.008254771066373
24.6001,67.7222,24.495,67.3722,13.56,37.27978750377967,5,2,0,0,0,1,0,1,0,0,0,1,0,53.304762118956965
24.5981,66.8294,24.6636,67.2647,4.65,44.5977505015526,0,6,1,0,0,1,0,1,0,0,0,0,1,62.34393104002667
25.0545,66.6305,24.749,67.0865,26.85,57.176201671530514,23,4,0,0,0,1,0,1,0,0,1,0,0,30.228965368754697
24.6539,67.8753,24.6466,67.6899,2.19,18.75443224755212,14,2,0,0,1,0,0,0,0,1,1,0,0,18.13274098374759
24.5899,66.8745,24.7862,66.6193,13.4,33.781838464803414,8,1,0,1,1,0,0,1,0,0,0,1,0,17.290712545279096
24.2776,67.5274,24.3985,67.2533,18.01,30.852766682386832,12,2,0,0,0,1,0,0,0,1,1,0,0,31.788298000595994
24.4344,66.908,24.9019,66.5602,2.98,62.74874071103372,20,5,1,0,0,1,0,0,0,1,0,0,1,44.7293726609678
24.9045,66.5477,25.2043,66.7173,11.63,37.45894725641115,10,1,0,0,1,0,0,1,0,0,0,1,0,20.122351855191376
24.0239,67.2364,24.218,67.0465,23.9,28.935086825883086,11,2,0,0,1,0,0,0,0,1,0,0,1,25.22488214661329
24.9454,66.9818,25.3932,66.9843,20.78,49.7937237669074,16,5,1,0,0,1,0,0,1,0,0,0,1,43.88321456776587
24.1936,67.5499,24.4834,67.6318,7.29,33.27541460609816,5,3,0,0,0,0,1,0,0,1,1,0,0,37.541801004133326
25.1833,67.4021,24.7376,67.8726,12.05,68.59888320631072,8,4,0,1,0,0,1,1,0,0,1,0,0,38.12480235100382
24.4221,66.9305,24.6038,67.3689,21.66,48.73897226436654,19,2,0,1,1,0,0,1,0,0,1,0,0,30.540728729073187
24.21,67.1451,24.2397,67.0606,9.75,9.182975965829572,8,2,0,1,0,0,1,0,0,1,0,0,1,32.877954555178285
25.0098,67.1839,24.6101,67.08,27.75,45.66505056670146,20,3,0,0,0,1,0,1,0,0,1,0,0,59.9151562874802
25.2732,67.2963,25.3948,66.9434,26.07,37.95685229865576,20,2,0,0,0,0,1,1,0,0,1,0,0,39.983666501973985
24.6851,67.7142,24.7985,67.5724,16.58,19.080434293807823,8,6,1,1,1,0,0,1,0,0,0,0,1,15.44962483689962
24.6444,67.6652,24.2909,67.8598,13.34,43.96560705477855,8,6,1,1,1,0,0,1,0,0,0,0,1,33.32518254255299
24.3473,67.825,24.3136,67.3677,11.32,46.484483001610826,8,1,0,1,1,0,0,0,0,1,0,0,1,25.09687698884407
24.5228,67.9456,24.2511,68.1292,12.84,35.475002671560866,0,4,0,0,0,1,0,1,0,0,0,1,0,50.4225054122153
24.3312,66.9525,24.757,66.6296,26.54,57.51888570859036,4,5,1,0,0,1,0,1,0,0,0,1,0,51.80887424609369
25.4262,67.2875,25.1751,67.7619,11.91,55.2629819730532,8,5,1,1,1,0,0,1,0,0,0,0,1,19.671242942533095
25.383,66.9008,25.4078,66.9042,26.67,2.7787028117506893,11,5,1,0,0,1,0,1,0,0,1,0,0,43.48351065713883
24.4297,67.2875,24.4612,67.109,11.35,18.405365044884245,12,6,1,0,1,0,0,1,0,0,0,0,1,18.171114547435963
25.3604,67.5086,25.7889,67.5751,9.0,48.11161370996395,10,0,0,0,1,0,0,1,0,0,1,0,0,17.17103054860894
25.3925,66.6497,24.9567,66.8018,10.64,50.818612421799855,7,4,0,1,0,0,1,0,1,0,1,0,0,23.993764947866325
25.4474,67.3444,25.1806,67.5665,12.56,37.1284708384886,5,2,0,0,0,0,1,1,0,0,0,1,0,41.9969513265249
25.4566,66.915,25.3532,67.3347,3.45,43.69537938226916,11,1,0,0,0,1,0,1,0,0,0,1,0,57.33730653683481
24.2122,66.7097,23.9563,66.3904,20.98,43.13145028770043,0,0,0,0,0,1,0,1,0,0,0,0,1,45.14463822592131
24.9664,66.6339,24.922,66.8675,29.21,24.064038452306722,20,5,1,0,0,1,0,1,0,0,0,1,0,66.89046331629942
24.4053,67.5201,24.0194,67.1347,18.05,58.0420629191394,7,4,0,1,0,1,0,1,0,0,1,0,0,48.311185034689146
25.2022,66.8686,24.8367,66.6231,11.07,47.57790290971109,22,4,0,0,1,0,0,1,0,0,0,0,1,17.092911507500123
