user_id,trip_id,start_lat,start_lon,end_lat,end_lon,distance_km,speed_kmh,traffic,weather,vehicle_type,timestamp,day_of_week,is_weekend
U100,T9000,24.697,67.4195,24.5436,67.7147,28.97,31.4981058623834,Low,Clear,Bus,2025-01-24 12:20:00,4,0
U101,T9001,24.7596,67.0422,24.3896,67.3007,8.18,49.89496551938038,Medium,Clear,Bus,2025-01-19 11:56:00,6,1
U102,T9002,24.1323,67.0737,23.7858,66.97,13.45,34.7063899548121,High,Clear,Bus,2025-01-28 10:51:00,1,0
U103,T9003,24.253,67.8358,24.6431,68.0697,21.47,26.37588797635711,High,Clear,Car,2025-01-29 08:53:00,2,0
U104,T9004,24.1442,66.7141,24.4542,66.306,15.73,22.592172953282994,High,Fog,Bike,2025-01-13 17:30:00,0,0
U105,T9005,25.4718,67.4674,25.9269,67.928,24.29,17.93855576531583,High,Clear,Bike,2025-01-02 19:41:00,3,0
U106,T9006,24.9714,67.1567,24.526,66.7831,23.76,19.014444474751016,High,Clear,Bike,2025-01-27 18:47:00,0,0
U107,T9007,24.5099,67.7709,24.824,67.315,18.03,31.22280566678691,Medium,Rain,Bike,2025-01-02 01:58:00,3,0
U108,T9008,24.9657,67.1738,24.967,66.8722,17.01,29.56569811719438,Medium,Clear,Bike,2025-01-22 15:31:00,2,0
U109,T9009,24.202,66.9361,24.603,66.5993,12.21,24.976212483725654,High,Clear,Car,2025-01-29 08:36:00,2,0
U110,T9010,24.9318,67.3002,25.2372,67.7145,5.82,45.668751416082195,Medium,Clear,Car,2025-01-24 11:25:00,4,0
U111,T9011,25.0813,67.0583,25.2607,66.7148,9.72,50.54185830265481,Low,Clear,Car,2025-01-20 20:58:00,0,0
U112,T9012,24.0778,67.0407,23.6352,66.7479,25.82,22.438008525381214,High,Clear,Bus,2025-01-02 19:21:00,3,0
U113,T9013,25.3091,66.9655,25.0749,66.7122,17.61,27.20293619868724,High,Clear,Bus,2025-01-08 12:18:00,2,0
U114,T9014,24.9672,67.8724,25.1656,67.7695,7.74,35.41118298378529,Low,Clear,Bike,2025-01-04 02:14:00,5,1
U115,T9015,24.1742,66.5648,23.8548,66.9273,15.39,21.47356379761266,High,Clear,Bike,2025-01-08 15:15:00,2,0
U116,T9016,24.8391,67.0842,24.4619,67.2502,7.07,45.479175080837585,Low,Rain,Bike,2025-01-09 22:46:00,3,0
U117,T9017,25.157,67.8211,25.194,67.3806,26.35,22.517764318865762,Low,Rain,Bus,2025-01-16 15:12:00,3,0
U118,T9018,24.8613,67.9697,25.1393,68.0163,6.15,30.773073404476865,High,Clear,Bike,2025-01-09 10:16:00,3,0
U119,T9019,25.1112,67.3787,25.2625,66.9639,15.93,17.008254771066373,High,Rain,Car,2025-01-01 02:40:00,2,0
U120,T9020,24.6001,67.7222,24.495,67.3722,13.56,53.304762118956965,Low,Clear,Bus,2025-01-29 05:36:00,2,0
U121,T9021,24.5981,66.8294,24.6636,67.2647,4.65,62.34393104002667,Low,Clear,Car,2025-01-12 00:18:00,6,1
U122,T9022,25.0545,66.6305,24.749,67.0865,26.85,30.228965368754697,Low,Clear,Bike,2025-01-10 23:33:00,4,0
U123,T9023,24.6539,67.8753,24.6466,67.6899,2.19,18.13274098374759,High,Rain,Bike,2025-01-29 14:56:00,2,0
U124,T9024,24.5899,66.8745,24.7862,66.6193,13.4,17.290712545279096,High,Clear,Bus,2025-01-28 08:43:00,1,0
U125,T9025,24.2776,67.5274,24.3985,67.2533,18.01,31.788298000595994,Low,Rain,Bike,2025-01-01 12:06:00,2,0
U126,T9026,24.4344,66.908,24.9019,66.5602,2.98,44.7293726609678,Low,Rain,Car,2025-01-18 20:19:00,5,1
U127,T9027,24.9045,66.5477,25.2043,66.7173,11.63,20.122351855191376,High,Clear,Bus,2025-01-14 10:28:00,1,0
U128,T9028,24.0239,67.2364,24.218,67.0465,23.9,25.22488214661329,High,Rain,Car,2025-01-08 11:15:00,2,0
U129,T9029,24.9454,66.9818,25.3932,66.9843,20.78,43.883214567765876,Low,Fog,Car,2025-01-25 16:30:00,5,1
U130,T9030,24.1936,67.5499,24.4834,67.6318,7.29,37.541801004133326,Medium,Rain,Bike,2025-01-02 05:31:00,3,0
U131,T9031,25.1833,67.4021,24.7376,67.8726,12.05,38.12480235100382,Medium,Clear,Bike,2025-01-10 08:11:00,4,0
U132,T9032,24.4221,66.9305,24.6038,67.3689,21.66,30.540728729073187,High,Clear,Bike,2025-01-22 19:08:00,2,0
U133,T9033,24.21,67.1451,24.2397,67.0606,9.75,32.877954555178285,Medium,Rain,Car,2025-01-08 08:45:00,2,0
U134,T9034,25.0098,67.1839,24.6101,67.08,27.75,59.9151562874802,Low,Clear,Bike,2025-01-30 20:04:00,3,0
U135,T9035,25.2732,67.2963,25.3948,66.9434,26.07,39.983666501973985,Medium,Clear,Bike,2025-01-15 20:11:00,2,0
U136,T9036,24.6851,67.7142,24.7985,67.5724,16.58,15.44962483689962,High,Clear,Car,2025-01-12 08:06:00,6,1
U137,T9037,24.6444,67.6652,24.2909,67.8598,13.34,33.32518254255299,High,Clear,Car,2025-01-05 08:48:00,6,1
U138,T9038,24.3473,67.825,24.3136,67.3677,11.32,25.09687698884407,High,Rain,Car,2025-01-21 08:39:00,1,0
U139,T9039,24.5228,67.9456,24.2511,68.1292,12.84,50.4225054122153,Low,Clear,Bus,2025-01-17 00:46:00,4,0
U140,T9040,24.3312,66.9525,24.757,66.6296,26.54,51.80887424609369,Low,Clear,Bus,2025-01-18 04:50:00,5,1
U141,T9041,25.4262,67.2875,25.1751,67.7619,11.91,19.671242942533098,High,Clear,Car,2025-01-25 08:28:00,5,1
U142,T9042,25.383,66.9008,25.4078,66.9042,26.67,43.48351065713883,Low,Clear,Bike,2025-01-18 11:17:00,5,1
U143,T9043,24.4297,67.2875,24.4612,67.109,11.35,18.171114547435963,High,Clear,Car,2025-01-12 12:14:00,6,1
U144,T9044,25.3604,67.5086,25.7889,67.5751,9.0,17.17103054860894,High,Clear,Bike,2025-01-13 10:36:00,0,0
U145,T9045,25.3925,66.6497,24.9567,66.8018,10.64,23.993764947866325,Medium,Fog,Bike,2025-01-03 07:14:00,4,0
U146,T9046,25.4474,67.3444,25.1806,67.5665,12.56,41.9969513265249,Medium,Clear,Bus,2025-01-15 05:10:00,2,0
U147,T9047,25.4566,66.915,25.3532,67.3347,3.45,57.33730653683481,Low,Clear,Bus,2025-01-14 11:58:00,1,0
U148,T9048,24.2122,66.7097,23.9563,66.3904,20.98,45.14463822592131,Low,Clear,Car,2025-01-20 00:04:00,0,0
U149,T9049,24.9664,66.6339,24.922,66.8675,29.21,66.89046331629942,Low,Clear,Bus,2025-01-04 20:09:00,5,1
U150,T9050,24.4053,67.5201,24.0194,67.1347,18.05,48.311185034689146,Low,Clear,Bike,2025-01-10 07:55:00,4,0
